Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Predicted
2012-07-05,5297.05,5333.65,5288.85,5327.3,118915392,4709.79,5313.535
2012-07-06,5324.7,5327.2,5287.75,5316.95,113300726,4760.51,5327.7974
2012-07-09,5283.7,5300.6,5257.75,5275.15,101169926,4189.25,5323.966
2012-07-10,5286.6,5348.55,5284.55,5345.35,123947633,5024.13,5299.482
2012-07-11,5315.25,5336.45,5300.25,5306.3,113530679,5086.98,5340.9443
2012-07-12,5240.0,5261.75,5217.7,5235.25,131190833,6193.59,5335.657
2012-07-13,5242.75,5267.15,5216.85,5227.25,99045088,4451.9,5266.2134
2012-07-16,5232.35,5246.85,5190.45,5197.25,106313144,4283.22,5263.1587
2012-07-17,5228.05,5236.7,5181.7,5192.85,111768115,4719.2,5246.446
2012-07-18,5199.1,5222.85,5169.05,5216.3,109647297,4759.52,5235.9546
2012-07-19,5249.85,5257.75,5233.15,5242.7,109769282,5494.99,5222.727
2012-07-20,5233.55,5238.7,5197.5,5205.1,89729408,4527.89,5253.1177
2012-07-23,5163.25,5164.2,5108.1,5117.95,104770324,4394.24,5239.8047
2012-07-24,5128.8,5144.0,5103.25,5128.2,116516931,4567.2,5170.0234
2012-07-25,5118.4,5121.6,5076.6,5109.6,130965621,4654.17,5143.6265
2012-07-26,5126.3,5126.3,5032.4,5043.0,180131639,6920.23,5122.509
2012-07-27,5124.3,5149.95,5077.5,5099.85,131948378,5828.12,5125.643
2012-07-30,5129.75,5206.6,5129.75,5199.8,117523733,5278.7,5148.3584
2012-07-31,5214.85,5234.55,5154.05,5229.0,147059808,6254.67,5202.3784
2012-08-01,5220.7,5246.35,5212.65,5240.5,113815730,4408.19,5233.5425
2012-08-02,5233.1,5236.9,5209.95,5227.75,92972386,3699.59,5246.1235
2012-08-03,5195.6,5220.2,5164.65,5215.7,112918653,4213.76,5237.75
2012-08-06,5260.85,5293.2,5260.85,5282.55,103148076,4271.5,5221.2104
2012-08-07,5295.4,5350.1,5281.65,5336.7,130431591,5226.33,5285.9673
2012-08-08,5345.25,5377.6,5331.05,5338.0,165954895,6069.12,5346.39
2012-08-09,5348.3,5368.2,5312.1,5322.95,181419777,6763.23,5376.906
2012-08-10,5308.2,5330.1,5294.1,5320.4,130090985,6540.77,5369.5454
2012-08-13,5316.35,5352.45,5309.05,5347.9,107578773,4678.33,5332.5645
2012-08-14,5343.25,5387.05,5328.8,5380.35,109794400,4742.47,5348.952
2012-08-16,5385.95,5390.65,5356.65,5362.95,133996943,5285.5,5383.7676
2012-08-17,5368.6,5399.95,5341.7,5366.3,134985473,5262.34,5390.8433
2012-08-21,5368.7,5425.15,5368.7,5421.0,124343357,4986.5,5398.9897
2012-08-22,5395.75,5433.35,5394.8,5412.85,103103501,4156.18,5422.3325
2012-08-23,5426.15,5448.6,5393.85,5415.35,127995889,5462.34,5431.868
2012-08-24,5392.6,5399.65,5371.0,5386.7,114346965,4520.37,5446.073
2012-08-27,5387.85,5399.15,5346.65,5350.25,89987572,3882.41,5402.1123
2012-08-28,5348.05,5359.25,5312.6,5334.6,123683723,4771.0,5396.5933
2012-08-29,5343.85,5345.5,5282.7,5287.8,157470632,4581.21,5360.7363
2012-08-30,5268.6,5342.8,5255.05,5315.05,226494000,8374.69,5344.9272
2012-08-31,5298.2,5303.25,5238.9,5258.5,167393902,6600.58,5341.947
2012-09-03,5276.5,5295.8,5243.15,5253.75,110380869,4015.55,5306.236
2012-09-04,5249.15,5278.35,5233.2,5274.0,106316880,3726.52,5295.609
2012-09-05,5243.9,5259.5,5215.7,5225.7,126162071,4904.68,5279.478
2012-09-06,5217.65,5260.6,5217.65,5238.4,134008569,4622.16,5260.9897
